Team,Lat,Lon
122,37.046,-76.41
123,42.408,-83.058
125,42.343,-71.092
126,42.418,-71.683
128,39.987,-83.046
131,43.007,-71.448
133,43.814,-70.481
135,41.684,-86.168
136,40.615,-74.415
138,42.857,-71.608
141,42.813,-86.143
144,39.267,-84.599
145,42.541,-75.527
148,33.105,-96.093
151,42.724,-71.489
155,41.621,-72.746
156,42.041,-80.24
157,42.351,-71.543
159,40.581,-105.104
166,42.867,-71.513
167,41.644,-91.567
171,42.739,-90.485
172,43.684,-70.468
173,41.87,-72.372
174,43.153,-76.224
175,41.989,-72.565
176,41.926,-72.646
177,41.834,-72.558
178,41.728,-72.841
179,26.783,-80.064
180,27.14,-80.213
181,41.75,-72.695
188,43.771,-79.214
190,42.283,-71.828
191,43.17,-77.601
192,37.418,-122.127
193,40.845,-74.702
195,41.605,-72.873
199,37.517,-122.293
201,42.659,-83.123
203,39.735,-74.986
204,39.85,-74.965
207,33.914,-118.349
213,42.963,-72.296
216,42.894,-85.762
217,42.612,-83.034
219,40.758,-74.991
222,41.539,-75.947
223,41.054,-74.279
224,40.551,-74.459
225,39.959,-76.659
226,42.599,-83.179
228,41.533,-72.8
229,44.67,-74.981
230,41.305,-73.129
231,29.679,-95.198
233,28.313,-80.732
234,39.678,-86.198
236,41.335,-72.309
237,41.606,-73.122
238,42.966,-71.449
240,41.929,-83.445
244,42.894,-85.762
245,42.726,-83.157
246,42.347,-71.103
247,42.503,-83.189
250,42.72,-73.821
253,37.6,-122.402
254,37.339,-121.895
256,37.296,-121.894
263,40.808,-73.13
269,43.109,-88.486
271,40.705,-73.243
272,40.238,-75.296
279,41.582,-83.663
280,42.232,-83.267
281,34.828,-82.352
283,34.892,-82.4
287,40.766,-72.854
288,42.894,-85.762
291,42.098,-80.094
292,40.415,-86.267
293,40.334,-74.794
294,33.831,-118.383
295,38.743,-121.19
296,45.46,-73.63
299,37.318,-122.045
302,42.743,-83.272
303,40.59,-74.627
308,42.558,-83.477
313,42.277,-83.376
314,43.011,-83.803
316,39.699,-75.45
319,43.463,-71.23
321,40.036,-75.145
322,43.057,-83.75
323,36.331,-92.375
329,40.817,-72.985
